일시,전력사용량
2021-10-20,9334835
2021-10-20 오전 1:00:00,9337298
2021-10-20 오전 2:00:00,9339817
2021-10-20 오전 3:00:00,9342287
2021-10-20 오전 4:00:00,9344706
2021-10-20 오전 5:00:00,9347170
2021-10-20 오전 6:00:00,9349680
2021-10-20 오전 7:00:00,9352266
2021-10-20 오전 8:00:00,9355477
2021-10-20 오전 9:00:00,9359852
2021-10-20 오전 10:00:00,9364697
2021-10-20 오전 11:00:00,9369399
2021-10-20 오후 12:00:00,9374182
2021-10-20 오후 1:00:00,9378417
2021-10-20 오후 2:00:00,9382801
2021-10-20 오후 3:00:00,9387409
2021-10-20 오후 4:00:00,9391916
2021-10-20 오후 5:00:00,9396456
2021-10-20 오후 6:00:00,9400223
2021-10-20 오후 7:00:00,9403859
2021-10-20 오후 8:00:00,9407221
2021-10-20 오후 9:00:00,9410077
2021-10-20 오후 10:00:00,9412916
2021-10-20 오후 11:00:00,9415539
2021-10-21,9418114
2021-10-21 오전 1:00:00,9420676
2021-10-21 오전 2:00:00,9423285
2021-10-21 오전 3:00:00,9425866
2021-10-21 오전 4:00:00,9428364
2021-10-21 오전 5:00:00,9430815
2021-10-21 오전 6:00:00,9433264
2021-10-21 오전 7:00:00,9435866
2021-10-21 오전 8:00:00,9439216
2021-10-21 오전 9:00:00,9443729
2021-10-21 오전 10:00:00,9448554
2021-10-21 오전 11:00:00,9453195
2021-10-21 오후 12:00:00,9457785
2021-10-21 오후 1:00:00,9461898
2021-10-21 오후 2:00:00,9466049
2021-10-21 오후 3:00:00,9470446
2021-10-21 오후 4:00:00,9474779
2021-10-21 오후 5:00:00,9479093
2021-10-21 오후 6:00:00,9482730
2021-10-21 오후 7:00:00,9486224
2021-10-21 오후 8:00:00,9489470
2021-10-21 오후 9:00:00,9492301
2021-10-21 오후 10:00:00,9495121
2021-10-21 오후 11:00:00,9497786
2021-10-22,9500411
2021-10-22 오전 1:00:00,9503008
2021-10-22 오전 2:00:00,9505633
2021-10-22 오전 3:00:00,9508272
