일시,전력사용량
2021-10-22 오전 4:00:00,9510875
2021-10-22 오전 5:00:00,9513435
2021-10-22 오전 6:00:00,9515938
2021-10-22 오전 7:00:00,9518600
2021-10-22 오전 8:00:00,9521980
2021-10-22 오전 9:00:00,9526252
2021-10-22 오전 10:00:00,9530856
2021-10-22 오전 11:00:00,9535369
2021-10-22 오후 12:00:00,9539839
2021-10-22 오후 1:00:00,9543798
2021-10-22 오후 2:00:00,9547809
2021-10-22 오후 3:00:00,9552113
2021-10-22 오후 4:00:00,9556377
2021-10-22 오후 5:00:00,9560602
2021-10-22 오후 6:00:00,9563891
2021-10-22 오후 7:00:00,9567051
2021-10-22 오후 8:00:00,9570072
2021-10-22 오후 9:00:00,9572933
2021-10-22 오후 10:00:00,9575802
2021-10-22 오후 11:00:00,9578556
2021-10-23,9581299
2021-10-23 오전 1:00:00,9584009
2021-10-23 오전 2:00:00,9586710
2021-10-23 오전 3:00:00,9589428
2021-10-23 오전 4:00:00,9592074
2021-10-23 오전 5:00:00,9594589
2021-10-23 오전 6:00:00,9597045
2021-10-23 오전 7:00:00,9599593
2021-10-23 오전 8:00:00,9602600
2021-10-23 오전 9:00:00,9605832
2021-10-23 오전 10:00:00,9608876
2021-10-23 오전 11:00:00,9611858
2021-10-23 오후 12:00:00,9614896
2021-10-23 오후 1:00:00,9617825
2021-10-23 오후 2:00:00,9620579
2021-10-23 오후 3:00:00,9623405
2021-10-23 오후 4:00:00,9626281
2021-10-23 오후 5:00:00,9629017
2021-10-23 오후 6:00:00,9631503
2021-10-23 오후 7:00:00,9634065
2021-10-23 오후 8:00:00,9636619
2021-10-23 오후 9:00:00,9639121
2021-10-23 오후 10:00:00,9641635
2021-10-23 오후 11:00:00,9644178
2021-10-24,9646706
2021-10-24 오전 1:00:00,9649168
2021-10-24 오전 2:00:00,9651601
2021-10-24 오전 3:00:00,9654057
2021-10-24 오전 4:00:00,9656529
2021-10-24 오전 5:00:00,9658962
2021-10-24 오전 6:00:00,9661267
2021-10-24 오전 7:00:00,9663635
2021-10-24 오전 8:00:00,9666487
2021-10-24 오전 9:00:00,9669374
2021-10-24 오전 10:00:00,9671922
2021-10-24 오전 11:00:00,9674483
2021-10-24 오후 12:00:00,9677067
2021-10-24 오후 1:00:00,9679663
2021-10-24 오후 2:00:00,9682195
2021-10-24 오후 3:00:00,9684801
2021-10-24 오후 4:00:00,9687508
2021-10-24 오후 5:00:00,9690170
2021-10-24 오후 6:00:00,9692737
2021-10-24 오후 7:00:00,9695327
2021-10-24 오후 8:00:00,9697905
2021-10-24 오후 9:00:00,9700319
2021-10-24 오후 10:00:00,9702693
2021-10-24 오후 11:00:00,9705081
2021-10-25,9707446
2021-10-25 오전 1:00:00,9709801
2021-10-25 오전 2:00:00,9712115
2021-10-25 오전 3:00:00,9714476
2021-10-25 오전 4:00:00,9716881
2021-10-25 오전 5:00:00,9719258
2021-10-25 오전 6:00:00,9721455
2021-10-25 오전 7:00:00,9723854
2021-10-25 오전 8:00:00,9727148
2021-10-25 오전 9:00:00,9731735
2021-10-25 오전 10:00:00,9736448
2021-10-25 오전 11:00:00,9741055
2021-10-25 오후 12:00:00,9745724
2021-10-25 오후 1:00:00,9749920
2021-10-25 오후 2:00:00,9754092
2021-10-25 오후 3:00:00,9758545
2021-10-25 오후 4:00:00,9762980
2021-10-25 오후 5:00:00,9767545
2021-10-25 오후 6:00:00,9771170
2021-10-25 오후 7:00:00,9774611
2021-10-25 오후 8:00:00,9777961
2021-10-25 오후 9:00:00,9780916
2021-10-25 오후 10:00:00,9783788
2021-10-25 오후 11:00:00,9786371
2021-10-26,9788965
2021-10-26 오전 1:00:00,9791496
2021-10-26 오전 2:00:00,9793961
2021-10-26 오전 3:00:00,9796397
2021-10-26 오전 4:00:00,9798886
2021-10-26 오전 5:00:00,9801389
2021-10-26 오전 6:00:00,9803766
2021-10-26 오전 7:00:00,9806265
2021-10-26 오전 8:00:00,9809521
2021-10-26 오전 9:00:00,9813854
2021-10-26 오전 10:00:00,9818477
2021-10-26 오전 11:00:00,9822899
2021-10-26 오후 12:00:00,9827242
2021-10-26 오후 1:00:00,9831266
2021-10-26 오후 2:00:00,9835445
2021-10-26 오후 3:00:00,9839853
2021-10-26 오후 4:00:00,9844247
2021-10-26 오후 5:00:00,9848650
2021-10-26 오후 6:00:00,9852423
2021-10-26 오후 7:00:00,9856155
2021-10-26 오후 8:00:00,9859584
2021-10-26 오후 9:00:00,9862384
2021-10-26 오후 10:00:00,9865112
2021-10-26 오후 11:00:00,9867542
2021-10-27,9869981
2021-10-27 오전 1:00:00,9872428
2021-10-27 오전 2:00:00,9874789
2021-10-27 오전 3:00:00,9877094
2021-10-27 오전 4:00:00,9879463
2021-10-27 오전 5:00:00,9881849
2021-10-27 오전 6:00:00,9884223
2021-10-27 오전 7:00:00,9886630
2021-10-27 오전 8:00:00,9889690
2021-10-27 오전 9:00:00,9893868
2021-10-27 오전 10:00:00,9898471
2021-10-27 오전 11:00:00,9902895
2021-10-27 오후 12:00:00,9907441
2021-10-27 오후 1:00:00,9911588
2021-10-27 오후 2:00:00,9915823
2021-10-27 오후 3:00:00,9920166
2021-10-27 오후 4:00:00,9924507
2021-10-27 오후 5:00:00,9929008
2021-10-27 오후 6:00:00,9932696
2021-10-27 오후 7:00:00,9936113
2021-10-27 오후 8:00:00,9939288
2021-10-27 오후 9:00:00,9942154
2021-10-27 오후 10:00:00,9944941
2021-10-27 오후 11:00:00,9947451
2021-10-28,9949936
2021-10-28 오전 1:00:00,9952422
2021-10-28 오전 2:00:00,9954935
2021-10-28 오전 3:00:00,9957371
2021-10-28 오전 4:00:00,9959797
2021-10-28 오전 5:00:00,9962292
2021-10-28 오전 6:00:00,9964766
2021-10-28 오전 7:00:00,9967472
2021-10-28 오전 8:00:00,9970820
2021-10-28 오전 9:00:00,9974760
2021-10-28 오전 10:00:00,9979414
2021-10-28 오전 11:00:00,9983946
2021-10-28 오후 12:00:00,9988522
2021-10-28 오후 1:00:00,9992731
2021-10-28 오후 2:00:00,9997040
2021-10-28 오후 3:00:00,1557.807007
2021-10-28 오후 4:00:00,5979.90332
2021-10-28 오후 5:00:00,10497.81152
2021-10-28 오후 6:00:00,14310.50293
2021-10-28 오후 7:00:00,18058.85938
2021-10-28 오후 8:00:00,21537.00391
2021-10-28 오후 9:00:00,24584.10547
2021-10-28 오후 10:00:00,27473.6875
2021-10-28 오후 11:00:00,30132.6582
2021-10-29,32730.93359
2021-10-29 오전 1:00:00,35359.15234
2021-10-29 오전 2:00:00,37975.83594
2021-10-29 오전 3:00:00,40449.81641
2021-10-29 오전 4:00:00,42845.76172
2021-10-29 오전 5:00:00,45253.81641
2021-10-29 오전 6:00:00,47651.82031
2021-10-29 오전 7:00:00,50173.55859
2021-10-29 오전 8:00:00,53315.95703
2021-10-29 오전 9:00:00,57425.53125
2021-10-29 오전 10:00:00,62015.44141
2021-10-29 오전 11:00:00,66447.53906
2021-10-29 오후 12:00:00,71032.35938
2021-10-29 오후 1:00:00,75167.96094
2021-10-29 오후 2:00:00,79432.07813
2021-10-29 오후 3:00:00,83805.42188
2021-10-29 오후 4:00:00,87309.32813
2021-10-29 오후 5:00:00,90705.35938
2021-10-29 오후 6:00:00,93827.52344
2021-10-29 오후 7:00:00,96786.15625
2021-10-29 오후 8:00:00,99630.10938
2021-10-29 오후 9:00:00,102403.5625
2021-10-29 오후 10:00:00,105224.9922
2021-10-29 오후 11:00:00,107869.6641
2021-10-30,110349.1172
2021-10-30 오전 1:00:00,112867.0234
2021-10-30 오전 2:00:00,115375.7188
2021-10-30 오전 3:00:00,117881.2656
2021-10-30 오전 4:00:00,120319.0078
2021-10-30 오전 5:00:00,122739.5313
2021-10-30 오전 6:00:00,125106.5469
2021-10-30 오전 7:00:00,127487.7188
2021-10-30 오전 8:00:00,130172.4922
2021-10-30 오전 9:00:00,132965.875
2021-10-30 오전 10:00:00,135681.9063
2021-10-30 오전 11:00:00,138398.8125
2021-10-30 오후 12:00:00,141106.0938
2021-10-30 오후 1:00:00,143862.3438
2021-10-30 오후 2:00:00,146680.5313
2021-10-30 오후 3:00:00,149550.5
2021-10-30 오후 4:00:00,152338.125
2021-10-30 오후 5:00:00,155048.25
2021-10-30 오후 6:00:00,157697.4375
2021-10-30 오후 7:00:00,160361.6875
2021-10-30 오후 8:00:00,162955.5781
2021-10-30 오후 9:00:00,165454.8438
2021-10-30 오후 10:00:00,167997.4688
2021-10-30 오후 11:00:00,170529.7969
