일시,전력사용량
2021-10-26 오후 6:00:00,31654108
2021-10-26 오후 7:00:00,31655666
2021-10-26 오후 8:00:00,31657362
2021-10-26 오후 9:00:00,31658820
2021-10-26 오후 10:00:00,31660142
2021-10-26 오후 11:00:00,31661372
2021-10-27,31662564
2021-10-27 오전 1:00:00,31663758
2021-10-27 오전 2:00:00,31664960
2021-10-27 오전 3:00:00,31666152
2021-10-27 오전 4:00:00,31667354
2021-10-27 오전 5:00:00,31668572
2021-10-27 오전 6:00:00,31669832
2021-10-27 오전 7:00:00,31671150
2021-10-27 오전 8:00:00,31672716
2021-10-27 오전 9:00:00,31674670
2021-10-27 오전 10:00:00,31676722
2021-10-27 오전 11:00:00,31678764
2021-10-27 오후 12:00:00,31680796
2021-10-27 오후 1:00:00,31682626
2021-10-27 오후 2:00:00,31684370
2021-10-27 오후 3:00:00,31686112
2021-10-27 오후 4:00:00,31687876
2021-10-27 오후 5:00:00,31689674
2021-10-27 오후 6:00:00,31691258
2021-10-27 오후 7:00:00,31692794
2021-10-27 오후 8:00:00,31694380
2021-10-27 오후 9:00:00,31695808
2021-10-27 오후 10:00:00,31697132
2021-10-27 오후 11:00:00,31698384
2021-10-28,31699590
2021-10-28 오전 1:00:00,31700792
2021-10-28 오전 2:00:00,31701998
2021-10-28 오전 3:00:00,31703206
2021-10-28 오전 4:00:00,31704418
2021-10-28 오전 5:00:00,31705634
2021-10-28 오전 6:00:00,31706892
2021-10-28 오전 7:00:00,31708194
2021-10-28 오전 8:00:00,31709742
2021-10-28 오전 9:00:00,31711674
2021-10-28 오전 10:00:00,31713738
2021-10-28 오전 11:00:00,31715770
2021-10-28 오후 12:00:00,31717798
2021-10-28 오후 1:00:00,31719574
2021-10-28 오후 2:00:00,31721292
2021-10-28 오후 3:00:00,31723048
2021-10-28 오후 4:00:00,31724770
2021-10-28 오후 5:00:00,31726484
2021-10-28 오후 6:00:00,31727978
2021-10-28 오후 7:00:00,31729392
2021-10-28 오후 8:00:00,31730994
2021-10-28 오후 9:00:00,31732418
2021-10-28 오후 10:00:00,31733712
2021-10-28 오후 11:00:00,31734934
2021-10-29,31736166
2021-10-29 오전 1:00:00,31737376
2021-10-29 오전 2:00:00,31738600
2021-10-29 오전 3:00:00,31739804
2021-10-29 오전 4:00:00,31740996
2021-10-29 오전 5:00:00,31742200
2021-10-29 오전 6:00:00,31743444
2021-10-29 오전 7:00:00,31744712
2021-10-29 오전 8:00:00,31746214
2021-10-29 오전 9:00:00,31748144
2021-10-29 오전 10:00:00,31750182
2021-10-29 오전 11:00:00,31752174
2021-10-29 오후 12:00:00,31754118
2021-10-29 오후 1:00:00,31755808
2021-10-29 오후 2:00:00,31757474
2021-10-29 오후 3:00:00,31759162
2021-10-29 오후 4:00:00,31760844
2021-10-29 오후 5:00:00,31762458
2021-10-29 오후 6:00:00,31763792
2021-10-29 오후 7:00:00,31764988
2021-10-29 오후 8:00:00,31766136
2021-10-29 오후 9:00:00,31767178
2021-10-29 오후 10:00:00,31768232
2021-10-29 오후 11:00:00,31769272
2021-10-30,31770276
2021-10-30 오전 1:00:00,31771308
2021-10-30 오전 2:00:00,31772326
2021-10-30 오전 3:00:00,31773330
2021-10-30 오전 4:00:00,31774350
2021-10-30 오전 5:00:00,31775398
2021-10-30 오전 6:00:00,31776452
2021-10-30 오전 7:00:00,31777508
2021-10-30 오전 8:00:00,31778564
2021-10-30 오전 9:00:00,31779714
2021-10-30 오전 10:00:00,31780902
2021-10-30 오전 11:00:00,31782082
2021-10-30 오후 12:00:00,31783232
2021-10-30 오후 1:00:00,31784322
2021-10-30 오후 2:00:00,31785372
2021-10-30 오후 3:00:00,31786376
2021-10-30 오후 4:00:00,31787342
2021-10-30 오후 5:00:00,31788396
2021-10-30 오후 6:00:00,31789476
2021-10-30 오후 7:00:00,31790478
2021-10-30 오후 8:00:00,31791390
2021-10-30 오후 9:00:00,31792268
2021-10-30 오후 10:00:00,31793152
2021-10-30 오후 11:00:00,31794032
